nama_product,foto_product,harga_product,diskon_product,rating_product,review_product,description
FAME - Jean Dress Satin Fit & Flare - 9511012,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/6/20/50244b0c-6489-41d9-8bc8-7fc17ea56605.jpg,Rp519.900,25,0,0,"- Material : Satin Kombinasi Brukat
- Regular fit
- Warna : Creme
- Zipper Belakang
- Tidak Mudah Kusut
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
S : 88 cm x 14 cm x 85 cm
M : 92 cm x 15 cm x 86 cm
L : 96 cm x 15 cm x 87 cm
XL : 100 cm x 16 cm x 88 cm
XXL : 104 cm x 16 cm x 89 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci"
FAME - Melody Blouse Floral Print - 9221579,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2024/6/20/709b4684-b59e-4740-a5b5-67a4cdd110fc.jpg,Rp294.900,24,0,0,"- Material : PolyCotton (Adem,Ringan & Tidak Menerawang)
- Regular fit
- Warna : White
- Printing Floral
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
M : 96 cm x 20 cm x 58 cm
L : 102 cm x 22 cm x 59 cm
XL : 108 cm x 23 cm x 60 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci"
FAME - Kimi Kemeja Basic Putih - 9211789,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/6/14/d9c270ba-f80c-4fc9-9de4-fdb98d634ff8.jpg,Rp299.900,25,0,0,"- Material : Pollycotton (Adem,Ringan & Tidak Menerawang)
- Regular Fit
- Warna : White
- Kancing Aktif ( Busui Friendly )
- Wudhu Friendly
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
S : 92 cm x 57 cm x 63 cm
M : 98 cm x 57 cm x 64 cm
L : 104 cm x 58 cm x 66 cm
XL : 110 cm x 58 cm x 67 cm
XXL : 116 cm x 58 cm x 68 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci"
FAME - Yuri Linen Blouse Polos - 9211849/9211850/9211851,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/6/14/c5f70d82-ae23-4906-a2ab-1e616a75f114.jpg,Rp339.900,24,0,0,"- Material : Linen Crinkle (Adem,Ringan & Tidak Menerawang)
- Regular fit
- Warna : Broken White, Black, Dusty Pink
- Kancing Aktif ( Busui Friendly )
- Bagian Belakang Lebih Panjang
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
S : 94 cm x 40 cm x 71 cm
M : 100 cm x 41 cm x 72 cm
L : 106 cm x 42 cm x 73 cm
XL : 112 cm x 43 cm x 74 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci"
FAME - Lily Ruffle Blouse Polos - 9211824-9211825,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/4/29/c1ebeaf1-0a87-47e4-8798-b4ec32b492f4.jpg,Rp279.900,30,0,0,"- Material : Linen (Adem,Ringan & Tidak Menerawang)
- Regular fit
- Warna : Broken White & Coklat Taupe
- Kancing Aktif ( Busui Friendly )
- Wudhu Friendly
- Detail Ruffle di Dada
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
S : 92 cm x 57 cm x 66 cm
M : 98 cm x 57 cm x 67 cm
L : 104 cm x 58 cm x 68 cm
XL : 110 cm x 58 cm x 69 cm
XXL : 118 cm x 58 cm x 70 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci
#blousewanita #blouse #bluswanita #bluswanitaterbaru #blus #kemejawanita #kemeja #blouselenganpanjang #kemejalenganpanjang"
FAME - Lucy Atasan Kemeja Basic Polos - 9211822-9211823,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/4/29/4dea2f34-1bb2-4ab8-91e9-a61174aaaf11.jpg,Rp279.900,30,0,0,"- Material : Pollycotton (Adem,Ringan & Tidak Menerawang)
- Regular Fit
- Warna : Putih & Terracotta
- Kancing Aktif ( Busui Friendly )
- Wudhu Friendly
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
S : 92 cm x 57 cm x 63 cm
M : 98 cm x 57 cm x 64 cm
L : 104 cm x 58 cm x 66 cm
XL : 110 cm x 58 cm x 67 cm
XXL : 116 cm x 58 cm x 68 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci
#blousewanita #blouse #bluswanita #bluswanitaterbaru #blus #kemejawanita #kemeja #blouselenganpanjang #kemejalenganpanjang"
FAME - Ailsie Atasan Tanktop Polos Maroon - 9221577,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/4/27/b995275c-9657-4f80-a69b-0f7af3f3e904.jpg,Rp189.900,30,0,0,"- Material : Polycrinkle (Adem,Ringan & Tidak Menerawang)
- Regular fit
- Warna : Maroon
- Kancing Aktif ( Busui Friendly )
Detail Size (Lingkar Dada x Panjang Baju):
XS : 90 cm x 58 cm
S : 96 cm x 59 cm
M : 102 cm x 60 cm
L : 108 cm x 61 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci
#blousewanita #blouse #bluswanita #bluswanitaterbaru #blus #kemejawanita #kemeja #blouselenganpanjang #kemejalenganpanjang"
FAME - Mandy Atasan Kemeja Floral Print - 9211820,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/4/27/8ec67c2d-7cc3-452b-a8f8-60ce2c327c41.jpg,Rp299.900,32,0,0,"- Material : Katun Rayon (Adem,Ringan & Tidak Menerawang)
- Regular fit
- Warna : White ( Multicolor )
- Kancing Aktif ( Busui Friendly )
- Wudhu Friendly
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
M : 106 cm x 57 cm x 64 cm
L : 112 cm x 58 cm x 65 cm
XL : 118 cm x 58 cm x 66 cm
XXL : 124 cm x 59 cm x 67 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci
#blousewanita #blouse #bluswanita #bluswanitaterbaru #blus #kemejawanita #kemeja #blouselenganpanjang #kemejalenganpanjang"
FAME - Nora Atasan Kemeja Floral Print - 9211817,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/4/27/caea413a-f447-437d-a103-52ca8a3a583c.jpg,Rp319.900,30,0,0,"- Material : Katun Rayon (Adem,Ringan & Tidak Menerawang)
- Regular fit
- Warna : Multicolor
- Kancing Aktif ( Busui Friendly )
- Wudhu Friendly
- Include Tali pinggang
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
M : 100 cm x 56 cm x 75 cm
L : 106 cm x 58 cm x 76 cm
XL : 112 cm x 58 cm x 78 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Seterika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci
#blousewanita #blouse #bluswanita #bluswanitaterbaru #blus #kemejawanita #kemeja #blouselenganpanjang #kemejalenganpanjang"
FAME - Kate Blouse Crop Top Floral Print - 9221578,https://images.tokopedia.net/img/cache/300-square/hDjmkQ/2024/4/27/78b0e97a-1fe1-4e79-9810-66e323bf423c.jpg,Rp269.900,31,0,0,"- Material : Katun Rayon (Adem,Ringan & Tidak Menerawang)
- Regular fit
- Warna : White ( Multicolor )
- Kancing Aktif ( Busui Friendly )
- Saku Depan
Detail Size (Lingkar Dada x Panjang Lengan x Panjang Baju):
S : 92 cm x 20 cm x 47 cm
M : 98 cm x 20 cm x 48 cm
L : 104 cm x 21 cm x 50 cm
XL : 110 cm x 21 cm x 51 cm
PETUNJUK PERAWATAN:
- Air hangat dibawah 30°C
- Cuci dengan Mesin
- Jangan pakai pemutih
- Pengeringan digantung
- Setrika hangat
NOTE PENTING:
- Detail ukuran dengan toleransi +- 1 - 3cm
- Akurasi cahaya pada foto sampai dengan 90%
- Hanya melayani penukaran jika barang tidak sesuai pesanan/cacat
- Wajib menyertakan bukti video unboxing tanpa terputus, dan menunjukan semua sisi paket
- Batas retur 1x24 jam setelah barang diterima
- Kemasan & label pengiriman masih utuh dan disertakan saat pengembalian
- Produk yg diretur harus dalam keadaan BARU, tidak pernah dipakai/dicuci
#blousewanita #blouse #bluswanita #bluswanitaterbaru #blus #kemejawanita #kemeja #blouselenganpanjang #kemejalenganpanjang #croptop"
